Front,Back,Week,Status,Frequency,PartOfSpeech
German for: apple (অ্যাপল); include article and plural,"Apfel | plural: -Ä | IPA: dɛɾ ˈapfəl | Ein Pfund Äpfel bitte. | One pound of apples, please. | বাংলা সহায়তা: “অ্যাপল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,active,very common,noun
German for: more (আরও বেশি),mehr | plural: — | IPA: mˈeːɾ | Dieses Auto kostet 1.000 Euro mehr als das andere. | This car costs 1000 euros more than the other. | বাংলা সহায়তা: “আরও বেশি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: my (আমার),mein | plural: — | IPA: mˈaɪn | Mein Vater ist Arzt. | My father is a doctor. | বাংলা সহায়তা: “আমার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: most (বেশীরভাগ),meist- | plural: — | IPA: mˈaɪst | Die meisten Norddeutschen sind sehr groß. | Most northern Germans are very tall. | বাংলা সহায়তা: “বেশীরভাগ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: people (জনগণ); include article and plural,Mensch | plural: -en | IPA: dɛɾ mˈɛnʃ | Die Menschen sind hier anders als bei uns. | The people here are different than at home. | বাংলা সহায়তা: “জনগণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: rent (ভাড়া); include article and plural,Miete | plural: — | IPA: diː mˈiːtə | Die Miete für diese Wohnung ist 600 Euro. | The rent for this flat is 600 euros. | বাংলা সহায়তা: “ভাড়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: milk (দুধ); include article and plural,Milch | plural: — | IPA: diː mˈɪlç | Die Milch steht im Kühlschrank. | The milk is in the fridge. | বাংলা সহায়তা: “দুধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: to come with (সঙ্গে আসা),mitkommen | plural: — | IPA: mˈɪtkˌɔmən | Ich gehe ins Kino. Kommst du mit? | I’m going to the cinema. Are you coming with me? | বাংলা সহায়তা: “সঙ্গে আসা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: to join in (অংশ নেওয়া),mitmachen | plural: — | IPA: mˈɪtmˌaxən | Warum macht ihr nicht mit? | Why don‘t you join in? | বাংলা সহায়তা: “অংশ নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: to take with (সঙ্গে নেওয়া),mitnehmen | plural: — | IPA: mˈɪtnˌeːmən | Nehmen wir meine Schwester ins Kino mit? | Are we taking my sister with us to the cinema? | বাংলা সহায়তা: “সঙ্গে নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: middle (মধ্য); include article and plural,Mitte | plural: — | IPA: diː mˈɪtə | Der Lehrer steht in der Mitte des Klassenzimmers. | The teacher stands in the middle of the classroom. | বাংলা সহায়তা: “মধ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: furniture (আসবাবপত্র); include article and plural,Möbel (pl.) | plural: — | IPA: diː mˈøːbəl | Sind die Möbel neu? | Is the furniture new? | বাংলা সহায়তা: “আসবাবপত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: would like to (করতে চাই),möchten | plural: — | IPA: mˈœçtən | Was möchten Sie trinken? | What would you like to drink? | বাংলা সহায়তা: “করতে চাই” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: to like (অনুরূপ),mögen | plural: — | IPA: mˈøːɡən | Magst du Kaffee oder Tee? | Do you like coffee or tea? | বাংলা সহায়তা: “অনুরূপ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: possible (সম্ভব),"möglich | plural: — | IPA: mˈøːklɪç | Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich. | With this ticket, it is possible to travel after 9 am. | বাংলা সহায়তা: “সম্ভব” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,recognition,common,adjective/adverb/other
German for: moment (মূহুর্ত); include article and plural,"Moment | plural: — | IPA: dɛɾ moːmˈɛnt | Moment mal bitte! | Just a moment, please! | বাংলা সহায়তা: “মূহুর্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,recognition,common,noun
German for: moment (মূহুর্ত); include article and plural,"Moment | plural: — | IPA: dɛɾ moːmˈɛnt | Einen Moment bitte. | One moment, please. | বাংলা সহায়তা: “মূহুর্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,recognition,common,noun
German for: tired (ক্লান্ত),müde | plural: — | IPA: mˈyːdə | Ich bin müde. Ich gehe schlafen. | I’m tired. I’m going to sleep. | বাংলা সহায়তা: “ক্লান্ত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: mouth (মুখ); include article and plural,Mund | plural: — | IPA: dɛɾ mˈʊnt | Öffnen Sie den Mund. | Open your mouth. | বাংলা সহায়তা: “মুখ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,noun
German for: to have to (করতে বাধ্য হওয়া),müssen | plural: — | IPA: mˈʏsən | Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten. | I have to work from 8 am to 6 pm every day. | বাংলা সহায়তা: “করতে বাধ্য হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: to (somewhere) (প্রতি),nach | plural: — | IPA: nˈɑːx | Ich gehe jetzt nach Hause. | I’m going home now. | বাংলা সহায়তা: “প্রতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: to (somewhere) (প্রতি),nach | plural: — | IPA: nˈɑːx | Ich fliege nach München. | I’m flying to Munich. | বাংলা সহায়তা: “প্রতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: next (পরবর্তী),nächst- | plural: — | IPA: nˈɛçst | Sehen wir uns nächste Woche? | Are we seeing each other next week? | বাংলা সহায়তা: “পরবর্তী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: to take (নেওয়া),nehmen | plural: — | IPA: nˈeːmən | Ich nehme den Bus. | I take the bus. | বাংলা সহায়তা: “নেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,verb
German for: no (না),"nein | plural: — | IPA: nˈaɪn | Fährst du auch nach München? / Nein, ich habe keine Zeit. | Are you also travelling to Munich? / No, I don‘t have time. | বাংলা সহায়তা: “না” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",4,recognition,common,adjective/adverb/other
German for: new (নতুন),neu | plural: — | IPA: nˈɔø | Ich bin der neue Kollege. | I am the new colleague. | বাংলা সহায়তা: “নতুন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: new (নতুন),neu | plural: — | IPA: nˈɔø | Wir haben eine neue Wohnung. | We have a new flat. | বাংলা সহায়তা: “নতুন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
German for: not (না),nicht | plural: — | IPA: nˈɪçt | Das stimmt nicht. | That’s not right. | বাংলা সহায়তা: “না” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,4,recognition,common,adjective/adverb/other
