Front,Back,Week,Status,Frequency,PartOfSpeech
German for: on (উপর বা চালু),auf | plural: — | IPA: ˈaʊf | Die Kinder spielen auf der Straße. | The children play on the street. | বাংলা সহায়তা: “উপর বা চালু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: apartment (কক্ষ); include article and plural,Apartment | plural: -s | IPA: das ˌɑpaɾtmˈɛnt | Wir haben ein Apartment gemietet. | We rented an apartment. | বাংলা সহায়তা: “কক্ষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Appetit | plural: — | IPA: dɛɾ ˌapeːtˈɪt | Guten Appetit! | Bon appetit! | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: lift (লিফট); include article and plural,"Aufzug | plural: -ü, e | IPA: dɛɾ ˈaʊftsˌuːk | In diesem Haus gibt es keinen Aufzug. | There is no lift in this building. | বাংলা সহায়তা: “লিফট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: eye (নয়ন); include article and plural,Auge | plural: -n | IPA: das ˈaʊɡə | Er hat blaue Augen. | He has blue eyes. | বাংলা সহায়তা: “নয়ন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: excursion (ভ্রমণ); include article and plural,Ausflug | plural: — | IPA: dɛɾ ˈaʊsflˌuːk | Morgen machen wir einen Ausflug nach Heidelberg. | Tomorrow we are going on an excursion to Heidelberg. | বাংলা সহায়তা: “ভ্রমণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: exit (প্রস্থান); include article and plural,Ausgang | plural: — | IPA: dɛɾ ˈaʊsɡˌaŋ | Wo ist der Ausgang? | Where is the exit? | বাংলা সহায়তা: “প্রস্থান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: information/details (তথ্য বা বিস্তারিত); include article and plural,"Auskunft | plural: -ü, e | IPA: diː ˈaʊskʊnft | Können Sie mir eine Auskunft geben? | Can you give me some information? | বাংলা সহায়তা: “তথ্য বা বিস্তারিত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: abroad/overseas (বিদেশে); include article and plural,Ausland | plural: — | IPA: das ˈaʊslˌant | Fahren Sie ins Ausland? | Do you travel abroad? | বাংলা সহায়তা: “বিদেশে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: foreigner (বিদেশি ব্যক্তি); include article and plural,Ausländer | plural: - | IPA: dɛɾ ˈaʊslˌɛndɜ | Sind Sie Ausländerin? | Are you a foreigner? | বাংলা সহায়তা: “বিদেশি ব্যক্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: statement (বিবৃতি); include article and plural,Aussage | plural: -n | IPA: diː ˈaʊszˌɑːɡə | Ist die Aussage richtig oder falsch? | Is the statement true or false? | বাংলা সহায়তা: “বিবৃতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: identity card (পরিচয়পত্র); include article and plural,Ausweis | plural: — | IPA: dɛɾ ˈaʊsvˌaɪs | Hier ist mein Ausweis. | Here is my identity card. | বাংলা সহায়তা: “পরিচয়পত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: motorway (মহাসড়ক); include article and plural,Autobahn | plural: -en | IPA: diː ˈaʊtoːbˌɑːn | Wo geht‘s hier bitte zur Autobahn? | How do I get to the motorway? | বাংলা সহায়তা: “মহাসড়ক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: machine (মেশিন); include article and plural,Automat | plural: — | IPA: dɛɾ ˌaʊtoːmˈɑːt | Die Fahrkarten gibt es nur am Automaten. | Tickets are only available from the machine. | বাংলা সহায়তা: “মেশিন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: baby (শিশু); include article and plural,Baby | plural: -s | IPA: das (en)bˈeɪbi(de) | Mein Kind ist noch ein Baby. | My child is still a baby. | বাংলা সহায়তা: “শিশু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: bakery (বেকারি); include article and plural,Bäckerei | plural: — | IPA: diː bˌɛkeːrˈaɪ | Ich geh mal schnell zur Bäckerei. | I’m just popping to the bakery. | বাংলা সহায়তা: “বেকারি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: balcony (বারান্দা); include article and plural,Balkon | plural: — | IPA: dɛɾ balkˈoːn | Die Wohnung hat auch einen kleinen Balkon. | The flat also has a small balcony. | বাংলা সহায়তা: “বারান্দা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: banana (কলা); include article and plural,"Banane | plural: -n | IPA: diː banˈɑːnə | Drei Bananen, bitte! | Three bananas, please! | বাংলা সহায়তা: “কলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: bank (তীর); include article and plural,Bank | plural: — | IPA: diː bˈaŋk | Die Bank schließt schon um vier Uhr. | The bank closes at 4 pm already. | বাংলা সহায়তা: “তীর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: bench (বেঞ্চ); include article and plural,Bank | plural: — | IPA: diː bˈaŋk | Er sitzt im Park auf einer Bank und liest. | He’s sits in the park on a bench and reads. | বাংলা সহায়তা: “বেঞ্চ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: official (সরকারী); include article and plural,Beamte | plural: -n | IPA: dɛɾ bəˈamtə | Fragen Sie die Beamtin an Schalter acht! | Ask the official at counter eight! | বাংলা সহায়তা: “সরকারী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: acquaintance (পরিচিত ব্যক্তি); include article and plural,Bekannte | plural: -n | IPA: dɛɾ diː bəkˈantə | Ein Bekannter von mir heißt Klaus. | An acquaintance of mine is called Klaus. | বাংলা সহায়তা: “পরিচিত ব্যক্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: occupation (পেশা); include article and plural,Beruf | plural: -e | IPA: dɛɾ bərˈuːf | Was ist Ihr Beruf? | What is your occupation? | বাংলা সহায়তা: “পেশা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: beer (বিয়ার); include article and plural,"Bier | plural: — | IPA: das bˈiːɾ | Noch ein Bier bitte. | Another beer, please. | বাংলা সহায়তা: “বিয়ার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: picture (ছবি); include article and plural,Bild | plural: -er | IPA: das bˈɪlt | Hast du ein Bild von deinem Sohn? | Do you have a picture of your son? | বাংলা সহায়তা: “ছবি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: pear (নাশপাতি); include article and plural,"Birne | plural: -n | IPA: diː bˈɪɾnə | Ein Kilo Birnen, bitte! | One kilogram of pears, please! | বাংলা সহায়তা: “নাশপাতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,very common,noun
German for: request (অনুরোধ); include article and plural,Bitte | plural: -n | IPA: diː bˈɪtə | Ich habe noch eine Bitte. | I have one more request. | বাংলা সহায়তা: “অনুরোধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,very common,noun
German for: pencil (কাঠ পেনসিল); include article and plural,Bleistift | plural: -e | IPA: dɛɾ blˈaɪstɪft | Hast du einen Bleistift? | Do you have a pencil? | বাংলা সহায়তা: “কাঠ পেনসিল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: view (দেখা); include article and plural,Blick | plural: — | IPA: dɛɾ blˈɪk | Von diesem Hotel hat man einen guten Blick auf den Rhein. | From this hotel you have a good view of the Rhine. | বাংলা সহায়তা: “দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: flower (ফুল); include article and plural,Blume | plural: -n | IPA: diː blˈʊmə | Gefallen dir die Blumen? | Do you like the flowers? | বাংলা সহায়তা: “ফুল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: sheet (টুকরা); include article and plural,Bogen | plural: — | IPA: dɛɾ bˈoːɡən | Schreiben Sie Ihre Lösungen bitte auf den Antwortbogen. | Write your solutions on the answer sheet. | বাংলা সহায়তা: “টুকরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: (postage) stamp (ডাক টিকিট); include article and plural,Briefmarke | plural: -n | IPA: diː bɾˈiːfmaɾkə | Kaufst du bitte Briefmarken bei der Post. | Could you please buy stamps at the post office. | বাংলা সহায়তা: “ডাক টিকিট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,active,common,noun
German for: book (গ্রন্থ); include article and plural,"Buch | plural: -ü, er | IPA: das bˈʊx | Gute Bücher sind oft sehr teuer. | Good books are often very expensive. | বাংলা সহায়তা: “গ্রন্থ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,active,common,noun
German for: dictionary (অভিধান); include article and plural,"Wörterbuch | plural: -ü, er | IPA: das vˈœɾtɜbˌʊx | In diesem Wörterbuch finden Sie mehr als 20.000 Wörter. | You will find more than 20,000 words in this dictionary. | বাংলা সহায়তা: “অভিধান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: butter (মাখন); include article and plural,"Butter | plural: — | IPA: diː bˈʊtɜ | Für mich bitte ein Brötchen mit Butter und Käse. | A bread roll with butter and cheese for me, please. | বাংলা সহায়তা: “মাখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: cafe (রেস্তরাঁ); include article and plural,Café | plural: -s | IPA: das kafˈeː | Sollen wir uns im Café treffen? | Should we meet at the cafe? | বাংলা সহায়তা: “রেস্তরাঁ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: CD (সিডি); include article and plural,CD | plural: -s | IPA: diː sˌeːdˈeː | Bring bitte deine Lieblings-CD mit. | Please bring your favourite CD with you. | বাংলা সহায়তা: “সিডি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: boss (কর্মকর্তা বা বস); include article and plural,Chef | plural: — | IPA: dɛɾ ʃˈɛf | Wir haben eine neue Chefin. | We have a new boss. | বাংলা সহায়তা: “কর্মকর্তা বা বস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: lady (গৃহিণী); include article and plural,Dame | plural: -n | IPA: diː dˈɑːmə | Damen (an der Toilette) | Ladies (toilet sign) | বাংলা সহায়তা: “গৃহিণী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: lady (গৃহিণী); include article and plural,Dame | plural: -n | IPA: diː dˈɑːmə | Sehr geehrte Damen und Herren! | Ladies and gentlemen! | বাংলা সহায়তা: “গৃহিণী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: thanks (ধন্যবাদ); include article and plural,Dank | plural: — | IPA: dɛɾ dˈaŋk | Vielen Dank! | Many thanks! | বাংলা সহায়তা: “ধন্যবাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: thanks (ধন্যবাদ); include article and plural,Dank | plural: — | IPA: dɛɾ dˈaŋk | Herzlichen Dank! | Thank you very much! | বাংলা সহায়তা: “ধন্যবাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: date (তারিখ); include article and plural,Datum | plural: — | IPA: das dˈɑtuːm | Bitte schreiben Sie noch das Datum auf das Formular. | Please write the date on the form. | বাংলা সহায়তা: “তারিখ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: disco (ডিস্কো); include article and plural,Disco | plural: — | IPA: diː dˈɪskoː | Heute abend gehen wir in die Disco tanzen. | This evening we’re going dancing in the disco. | বাংলা সহায়তা: “ডিস্কো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: village (গ্রাম); include article and plural,"Dorf | plural: -ö, er | IPA: das dˈɔɾf | Meine Familie lebt in einem Dorf. | My family lives in a village. | বাংলা সহায়তা: “গ্রাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: printer (প্রিন্টার); include article and plural,Drucker | plural: – | IPA: dɛɾ dɾˈʊkɜ | Mein Drucker ist kaputt. | My printer is broken. | বাংলা সহায়তা: “প্রিন্টার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: announcement (ঘোষণা); include article and plural,Durchsage | plural: -n | IPA: diː dˈʊɐçzˌɑːɡə | Ich habe die Durchsage nicht verstanden. | I didn’t understand the announcement. | বাংলা সহায়তা: “ঘোষণা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: thirst (তৃষ্ণা); include article and plural,Durst | plural: — | IPA: dɛɾ dˈuːɾst | Hast du etwas zu trinken? Ich habe großen Durst. | Do you have anything to drink? I’m very thirsty. | বাংলা সহায়তা: “তৃষ্ণা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: shower (শাওয়ার); include article and plural,Dusche | plural: — | IPA: diː dˈuːʃə | Unsere Wohnung hat nur eine Dusche. | Our flat only has a shower. | বাংলা সহায়তা: “শাওয়ার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: corner (কোণ); include article and plural,Ecke | plural: -n | IPA: diː ˈɛkə | An der nächsten Ecke links. | Left at the next corner. | বাংলা সহায়তা: “কোণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: wife (স্ত্রী); include article and plural,Ehefrau | plural: -en | IPA: diː ˈeːɛfrˌaʊ | Das ist meine (Ehe-) Frau. | That is my wife. | বাংলা সহায়তা: “স্ত্রী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: husband (স্বামী); include article and plural,"Ehemann | plural: ä, er | IPA: dɛɾ ˈeːeːmˌan | Das ist mein (Ehe-) Mann. | That is my husband. | বাংলা সহায়তা: “স্বামী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: egg (ডিম); include article and plural,Ei | plural: -er | IPA: das ˈaɪ | Möchtest du ein Ei zum Frühstück? | Would you like an egg for breakfast? | বাংলা সহায়তা: “ডিম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: entrance (প্রবেশ); include article and plural,Eingang | plural: — | IPA: dɛɾ ˈaɪnɡˌaŋ | Der Eingang ist um die Ecke. | The entrance is round the corner. | বাংলা সহায়তা: “প্রবেশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: entry (অন্তর্ভুক্তি); include article and plural,Eintritt | plural: — | IPA: dɛɾ ˈaɪntɾˌɪt | Der Preis für den Eintritt ist 5 Euro. | The price for entry is 5 euros. | বাংলা সহায়তা: “অন্তর্ভুক্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: email (ই-মেইল); include article and plural,E-Mail | plural: -s | IPA: diː ˈeː(en)mˈeɪl(de) | Ich habe Ihre E-Mail nicht bekommen. | I didn’t receive your email. | বাংলা সহায়তা: “ই-মেইল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: recipient (গ্রাহক); include article and plural,"Empfänger | plural: – | IPA: dɛɾ ɛmpfˈɛŋɜ | Auf dem Brief steht dein Name, also bist du der Empfänger. | Your name is on the letter, therefore you are the recipient. | বাংলা সহায়তা: “গ্রাহক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: end (শেষ); include article and plural,Ende | plural: — | IPA: das ˈɛndə | Sie wohnt am Ende der Straße. | She lives at the end of the street. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: end (শেষ); include article and plural,Ende | plural: — | IPA: das ˈɛndə | Er bekommt sein Geld am Ende des Monats. | He gets his money at the end of the month. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Entschuldigung | plural: — | IPA: diː ɛntʃˈʊldɪɡˌʊŋ | Entschuldigung! / Bitte. | Excuse me! / Sure. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: result (ফল); include article and plural,Ergebnis | plural: -se | IPA: das ɛɾɡˈeːbnɪs | Das Ergebnis des Tests bekommen Sie in zwei Wochen. | You will receive the test results in two weeks. | বাংলা সহায়তা: “ফল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: adult (প্রাপ্তবয়স্ক); include article and plural,Erwachsene | plural: -n | IPA: dɛɾ ɛɾvˈaxzənə | Dieser Film ist nur für Erwachsene. | This film is for adults only. | বাংলা সহায়তা: “প্রাপ্তবয়স্ক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: driver (চালক); include article and plural,Fahrer | plural: — | IPA: dɛɾ fˈɑːrɜ | Bitte nicht mit dem Fahrer sprechen! | Please do not speak to the driver! | বাংলা সহায়তা: “চালক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: surname (পদবি); include article and plural,Familienname | plural: — | IPA: dɛɾ famˈiːlɪənˌɑːmə | Meine Familiennamen sind García González. | My surname is García González. | বাংলা সহায়তা: “পদবি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: fax (ফ্যাক্স); include article and plural,Fax | plural: -e | IPA: das fˈɑːks | Schicken Sie uns einfach ein Fax! | Just send us a fax! | বাংলা সহায়তা: “ফ্যাক্স” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: weekend (সাপ্তাহিক ছুটি); include article and plural,Wochenende | plural: -n | IPA: das vˈɔxənəndə | Das ist das Wochenende. | This is the weekend. | এটি সাপ্তাহিক ছুটি।,3,active,very common,noun
German for: calendar (ক্যালেন্ডার); include article and plural,Kalender | plural: - | IPA: dɛɾ kˈɑːləndɜ | Das ist der Kalender. | This is the calendar. | এটি ক্যালেন্ডার।,3,active,very common,noun
German for: to jog (জগিং করা),joggen | plural: — | IPA: jˈɔɡən | Wir üben heute das Verb „joggen“. | Today we practise the verb “to jog”. | আজ আমরা “জগিং করা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to photograph (ছবি তোলা),fotografieren | plural: — | IPA: fˌoːtoːɡɾafˈiːrən | Wir üben heute das Verb „fotografieren“. | Today we practise the verb “to photograph”. | আজ আমরা “ছবি তোলা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to program (প্রোগ্রাম করা),programmieren | plural: — | IPA: pɾoːɡɾamˈiːrən | Wir üben heute das Verb „programmieren“. | Today we practise the verb “to program”. | আজ আমরা “প্রোগ্রাম করা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to hike (পাহাড়ে বা পথে হাঁটা),wandern | plural: — | IPA: vˈandɜn | Wir üben heute das Verb „wandern“. | Today we practise the verb “to hike”. | আজ আমরা “পাহাড়ে বা পথে হাঁটা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: to train (অনুশীলন করা),trainieren | plural: — | IPA: tɾɛnˈiːrən | Wir üben heute das Verb „trainieren“. | Today we practise the verb “to train”. | আজ আমরা “অনুশীলন করা” অর্থের ক্রিয়াটি অনুশীলন করি।,3,active,very common,verb
German for: alarm clock (অ্যালার্ম ঘড়ি); include article and plural,Wecker | plural: - | IPA: dɛɾ vˈɛkɜ | Das ist der Wecker. | This is the alarm clock. | এটি অ্যালার্ম ঘড়ি।,3,active,very common,noun
German for: lunch break (দুপুরের বিরতি); include article and plural,Mittagspause | plural: -n | IPA: diː mˈɪtakspˌaʊzə | Das ist die Mittagspause. | This is the lunch break. | এটি দুপুরের বিরতি।,3,active,very common,noun
German for: end of the workday (কাজ শেষে অবসর); include article and plural,Feierabend | plural: -e | IPA: dɛɾ fˈaɪeːrˌɑːbənt | Das ist der Feierabend. | This is the end of the workday. | এটি কাজ শেষে অবসর।,3,active,very common,noun
German for: gym (ব্যায়ামাগার); include article and plural,Fitnessstudio | plural: -s | IPA: das fˈɪtnɛsstˌuːdɪˌoː | Das ist das Fitnessstudio. | This is the gym. | এটি ব্যায়ামাগার।,3,active,very common,noun
German for: computer game (কম্পিউটার গেম); include article and plural,Computerspiel | plural: -e | IPA: das kɔmpjˈuːtɜʃpˌiːl | Das ist das Computerspiel. | This is the computer game. | এটি কম্পিউটার গেম।,3,active,very common,noun
German for: arrangement to meet (দেখা করার পরিকল্পনা); include article and plural,Verabredung | plural: -en | IPA: diː fɛɾˈapɾˌeːdʊŋ | Das ist die Verabredung. | This is the arrangement to meet. | এটি দেখা করার পরিকল্পনা।,3,active,very common,noun
German for: punctual (সময়নিষ্ঠ),pünktlich | plural: — | IPA: pˈʏŋktlɪç | Wir benutzen heute „pünktlich“. | Today we use “punctual”. | আজ আমরা “সময়নিষ্ঠ” অর্থটি ব্যবহার করি।,3,active,very common,adjective
German for: delayed (বিলম্বিত),verspätet | plural: — | IPA: fɛɾʃpˈɛːtət | Wir benutzen heute „verspätet“. | Today we use “delayed”. | আজ আমরা “বিলম্বিত” অর্থটি ব্যবহার করি।,3,active,very common,adjective
German for: half (অর্ধেক),halb | plural: — | IPA: hˈalp | Wir benutzen heute „halb“. | Today we use “half”. | আজ আমরা “অর্ধেক” অর্থটি ব্যবহার করি।,3,active,very common,adverb
German for: quarter (চতুর্থাংশ); include article and plural,Viertel | plural: — | IPA: fˈiːɾtəl | Wir benutzen heute „Viertel“. | Today we use “quarter”. | আজ আমরা “চতুর্থাংশ” অর্থটি ব্যবহার করি।,3,active,very common,noun
German for: end of work/home time (কাজ শেষের সময়); include article and plural,Feierabend | plural: — | IPA: dɛɾ fˈaɪeːrˌɑːbənt | Wir machen jetzt Feierabend. | We are calling it a day now. / We are finishing work for the day now. | বাংলা সহায়তা: “কাজ শেষের সময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: free time (অবসর সময়); include article and plural,Freizeit | plural: — | IPA: diː frˈaɪtsaɪt | In meiner Freizeit spiele ich oft Fußball. | I often play football in my free time. | বাংলা সহায়তা: “অবসর সময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: today (আজ),heute | plural: — | IPA: hˈɔøtə | Heute ist ein schöner Tag. | Today is a beautiful day. | বাংলা সহায়তা: “আজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: hobby (শখ); include article and plural,Hobby | plural: -s | IPA: das hˈɔbiː | Meine Hobbys sind Wandern und Schwimmen. | My hobbies are hiking and swimming. | বাংলা সহায়তা: “শখ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: cinema (সিনেমা); include article and plural,Kino | plural: -s | IPA: das kˈiːnoː | Wir sehen heute Abend im Kino einen schönen Film. | We’re watching a lovely film this evening. | বাংলা সহায়তা: “সিনেমা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: tomorrow (আগামিকাল),morgen | plural: — | IPA: mˈɔɾɡən | Morgen beginnt die Schule um 10 Uhr. | Tomorrow school begins at 10 am. | বাংলা সহায়তা: “আগামিকাল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: sport (খেলা); include article and plural,Sport | plural: — | IPA: dɛɾ ʃpˈɔɾt | Ich mache viel Sport. | I do a lot of sport. | বাংলা সহায়তা: “খেলা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: hour (ঘন্টা); include article and plural,Stunde | plural: -n | IPA: diː ʃtˈʊndə | Ich bin in einer Stunde zurück. | I will be back in an hour. | বাংলা সহায়তা: “ঘন্টা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: appointment (appointment (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)); include article and plural,Termin | plural: -e | IPA: dɛɾ tɛɾmˈiːn | Am besten machen wir sofort einen Termin. | It's best to make an appointment immediately. | বাংলা সহায়তা: “appointment (ইংরেজি অর্থটি সহায়ক হিসেবে রাখা হয়েছে)” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: time (সময়); include article and plural,Zeit | plural: — | IPA: diː tsˈaɪt | Ich habe heute keine Zeit. | I have no time today | বাংলা সহায়তা: “সময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,noun
German for: after / past (time) (পরে),nach | plural: — | IPA: nˈɑːx | Es ist schon 5 nach 12. | It is already 5 past 12. | বাংলা সহায়তা: “পরে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: for (an amount of time) (জন্য),seit | plural: — | IPA: zˈaɪt | Ich wohne seit drei Jahren in Köln. | I have lived in Cologne for three years. | বাংলা সহায়তা: “জন্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,adjective/adverb/other
German for: to be (switched) on (চালু থাকা),an sein | plural: — | IPA: ˈan zaɪn | Heute Nacht war das Licht an. | The light was on tonight. | বাংলা সহায়তা: “চালু থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get dressed (পোশাক পরা),(sich) anziehen | plural: — | IPA: ˈantsˌiːən | Ich muss mich noch anziehen. | I still need to get dressed. | বাংলা সহায়তা: “পোশাক পরা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to end (শেষ),aufhören | plural: — | IPA: ˈaʊfhˌøːrən | Der Kurs hört in einer Woche auf. | The course ends in a week. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to end (শেষ),aufhören | plural: — | IPA: ˈaʊfhˌøːrən | Hier hört die Bahnhofstraße auf. | Bahnhofstraße ends here. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to be open (খোলা থাকা),auf sein | plural: — | IPA: ˈaʊf zaɪn | Du brauchst den Schlüssel nicht. Die Wohnung ist auf. | You don’t need the key. The flat is open. | বাংলা সহায়তা: “খোলা থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
German for: to get up (ঘুম থেকে ওঠা),aufstehen | plural: — | IPA: ˈaʊfʃtˌeːən | Ich muss immer um vier Uhr aufstehen. | I always need to get up at 4 am. | বাংলা সহায়তা: “ঘুম থেকে ওঠা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,active,very common,verb
