Front,Back,Week,Status,Frequency,PartOfSpeech
German for: on (উপর বা চালু),auf | plural: — | IPA: ˈaʊf | Die Kinder spielen auf der Straße. | The children play on the street. | বাংলা সহায়তা: “উপর বা চালু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,active,very common,preposition
German for: hair (চুল); include article and plural,Haar | plural: -e | IPA: das hˈɑːɾ | Sie hat lange Haare. | She has long hair. | বাংলা সহায়তা: “চুল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: chicken (মুরগি); include article and plural,"Hähnchen | plural: - | IPA: das hˈɛːnçən | Ein Hähnchen mit Pommes bitte! | Chicken with chips, please! | বাংলা সহায়তা: “মুরগি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: half-board (dining) (সকাল ও রাতের খাবারসহ থাকা); include article and plural,Halbpension | plural: — | IPA: diː hˌalppɛnzjˈoːn | Möchten Sie Vollpension oder Halbpension? | Would you like full or half-board? | বাংলা সহায়তা: “সকাল ও রাতের খাবারসহ থাকা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: hall (হল-ঘর); include article and plural,Halle | plural: — | IPA: diː hˈalə | Wir treffen uns in Halle B. | We will meet in hall B. | বাংলা সহায়তা: “হল-ঘর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: (public transport) stop (থামা); include article and plural,"Haltestelle | plural: -en, | IPA: diː hˈaltɛʃtˌɛlə | An der nächsten Haltestelle müssen Sie aussteigen. | At the next stop you must alight. | বাংলা সহায়তা: “থামা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: hand (হাত); include article and plural,"Hand | plural: -ä, e | IPA: diː hˈant | Er gibt mir die Hand. | He gives me his hand. | বাংলা সহায়তা: “হাত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: home (বাড়ি); include article and plural,"Haus | plural: -ä, er | IPA: das hˈaʊs | Ich gehe jetzt nach Hause. | I’m going home now. | বাংলা সহায়তা: “বাড়ি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: home (বাড়ি); include article and plural,"Haus | plural: -ä, er | IPA: das hˈaʊs | Paul ist nicht zu Hause. | Paul is not home. | বাংলা সহায়তা: “বাড়ি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: homework (বাড়ির কাজ); include article and plural,Hausaufgabe | plural: -n | IPA: diː hˈaʊsˌaʊfɡˌɑːbə | Kannst du mir bei den Hausaufgaben helfen? | Can you help me with the homework? | বাংলা সহায়তা: “বাড়ির কাজ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: home (বাড়ি); include article and plural,Heimat | plural: — | IPA: diː hˈaɪmɑːt | Ich komme aus der Schweiz. Das ist meine Heimat. | I come from Switzerland. It’s my home. | বাংলা সহায়তা: “বাড়ি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: stove (চুল্লি); include article and plural,Herd | plural: — | IPA: dɛɾ hˈeːɾt | In der neuen Küche fehlt noch der Herd. | The stove is still missing from the new kitchen. | বাংলা সহায়তা: “চুল্লি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: Mister (জনাব); include article and plural,"Herr | plural: -en | IPA: dɛɾ hˈɛɾ | Guten Tag, Herr Sommer! | Good day, Mr Sommer! | বাংলা সহায়তা: “জনাব” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: marriage (বিবাহ); include article and plural,Hochzeit | plural: — | IPA: diː hˈoːxtsˌaɪt | Zur dieser Hochzeit kommen mehr als fünfzig Gäste. | More than fifty guests are coming to this wedding. | বাংলা সহায়তা: “বিবাহ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: hunger (ক্ষুধা); include article and plural,Hunger | plural: — | IPA: dɛɾ hˈʊŋɜ | Ich habe Hunger! Wann ist das Essen fertig? | I’m hungry! When will the food be ready? | বাংলা সহায়তা: “ক্ষুধা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
German for: information point (তথ্যকেন্দ্র); include article and plural,"Information | plural: -en | IPA: diː ˌɪnfɔɾmˌatsɪˈoːn | Wenn Sie Fragen haben, gehen Sie zur Information. | If you have questions, go to the information point. | বাংলা সহায়তা: “তথ্যকেন্দ্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",1,recognition,common,noun
German for: information (তথ্য); include article and plural,Information | plural: -en | IPA: diː ˌɪnfɔɾmˌatsɪˈoːn | Wir haben hier wichtige Informationen für Sie. | We have important information for you. | বাংলা সহায়তা: “তথ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,1,recognition,common,noun
