Front,Back,Week,Status,Frequency,PartOfSpeech
German for: computer mouse (কম্পিউটার মাউস); include article and plural,Maus | plural: Mäuse | IPA: diː mˈaʊs | Das ist die Maus. | This is the computer mouse. | এটি কম্পিউটার মাউস।,2,active,very common,noun
German for: disco (ডিস্কো); include article and plural,Disco | plural: — | IPA: diː dˈɪskoː | Heute abend gehen wir in die Disco tanzen. | This evening we’re going dancing in the disco. | বাংলা সহায়তা: “ডিস্কো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: village (গ্রাম); include article and plural,"Dorf | plural: -ö, er | IPA: das dˈɔɾf | Meine Familie lebt in einem Dorf. | My family lives in a village. | বাংলা সহায়তা: “গ্রাম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: printer (প্রিন্টার); include article and plural,Drucker | plural: – | IPA: dɛɾ dɾˈʊkɜ | Mein Drucker ist kaputt. | My printer is broken. | বাংলা সহায়তা: “প্রিন্টার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: announcement (ঘোষণা); include article and plural,Durchsage | plural: -n | IPA: diː dˈʊɐçzˌɑːɡə | Ich habe die Durchsage nicht verstanden. | I didn’t understand the announcement. | বাংলা সহায়তা: “ঘোষণা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: thirst (তৃষ্ণা); include article and plural,Durst | plural: — | IPA: dɛɾ dˈuːɾst | Hast du etwas zu trinken? Ich habe großen Durst. | Do you have anything to drink? I’m very thirsty. | বাংলা সহায়তা: “তৃষ্ণা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: shower (শাওয়ার); include article and plural,Dusche | plural: — | IPA: diː dˈuːʃə | Unsere Wohnung hat nur eine Dusche. | Our flat only has a shower. | বাংলা সহায়তা: “শাওয়ার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: corner (কোণ); include article and plural,Ecke | plural: -n | IPA: diː ˈɛkə | An der nächsten Ecke links. | Left at the next corner. | বাংলা সহায়তা: “কোণ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: wife (স্ত্রী); include article and plural,Ehefrau | plural: -en | IPA: diː ˈeːɛfrˌaʊ | Das ist meine (Ehe-) Frau. | That is my wife. | বাংলা সহায়তা: “স্ত্রী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: husband (স্বামী); include article and plural,"Ehemann | plural: ä, er | IPA: dɛɾ ˈeːeːmˌan | Das ist mein (Ehe-) Mann. | That is my husband. | বাংলা সহায়তা: “স্বামী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: egg (ডিম); include article and plural,Ei | plural: -er | IPA: das ˈaɪ | Möchtest du ein Ei zum Frühstück? | Would you like an egg for breakfast? | বাংলা সহায়তা: “ডিম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: entrance (প্রবেশ); include article and plural,Eingang | plural: — | IPA: dɛɾ ˈaɪnɡˌaŋ | Der Eingang ist um die Ecke. | The entrance is round the corner. | বাংলা সহায়তা: “প্রবেশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: entry (অন্তর্ভুক্তি); include article and plural,Eintritt | plural: — | IPA: dɛɾ ˈaɪntɾˌɪt | Der Preis für den Eintritt ist 5 Euro. | The price for entry is 5 euros. | বাংলা সহায়তা: “অন্তর্ভুক্তি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: email (ই-মেইল); include article and plural,E-Mail | plural: -s | IPA: diː ˈeː(en)mˈeɪl(de) | Ich habe Ihre E-Mail nicht bekommen. | I didn’t receive your email. | বাংলা সহায়তা: “ই-মেইল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: recipient (গ্রাহক); include article and plural,"Empfänger | plural: – | IPA: dɛɾ ɛmpfˈɛŋɜ | Auf dem Brief steht dein Name, also bist du der Empfänger. | Your name is on the letter, therefore you are the recipient. | বাংলা সহায়তা: “গ্রাহক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",2,recognition,common,noun
German for: end (শেষ); include article and plural,Ende | plural: — | IPA: das ˈɛndə | Sie wohnt am Ende der Straße. | She lives at the end of the street. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: end (শেষ); include article and plural,Ende | plural: — | IPA: das ˈɛndə | Er bekommt sein Geld am Ende des Monats. | He gets his money at the end of the month. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Entschuldigung | plural: — | IPA: diː ɛntʃˈʊldɪɡˌʊŋ | Entschuldigung! / Bitte. | Excuse me! / Sure. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: result (ফল); include article and plural,Ergebnis | plural: -se | IPA: das ɛɾɡˈeːbnɪs | Das Ergebnis des Tests bekommen Sie in zwei Wochen. | You will receive the test results in two weeks. | বাংলা সহায়তা: “ফল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: adult (প্রাপ্তবয়স্ক); include article and plural,Erwachsene | plural: -n | IPA: dɛɾ ɛɾvˈaxzənə | Dieser Film ist nur für Erwachsene. | This film is for adults only. | বাংলা সহায়তা: “প্রাপ্তবয়স্ক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: driver (চালক); include article and plural,Fahrer | plural: — | IPA: dɛɾ fˈɑːrɜ | Bitte nicht mit dem Fahrer sprechen! | Please do not speak to the driver! | বাংলা সহায়তা: “চালক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: surname (পদবি); include article and plural,Familienname | plural: — | IPA: dɛɾ famˈiːlɪənˌɑːmə | Meine Familiennamen sind García González. | My surname is García González. | বাংলা সহায়তা: “পদবি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
German for: fax (ফ্যাক্স); include article and plural,Fax | plural: -e | IPA: das fˈɑːks | Schicken Sie uns einfach ein Fax! | Just send us a fax! | বাংলা সহায়তা: “ফ্যাক্স” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,2,recognition,common,noun
