Front,Back,Week,Status,Frequency,PartOfSpeech
German for: weekend (সাপ্তাহিক ছুটি); include article and plural,Wochenende | plural: -n | IPA: das vˈɔxənəndə | Das ist das Wochenende. | This is the weekend. | এটি সাপ্তাহিক ছুটি।,3,active,very common,noun
German for: to hear (শোনা),hören | plural: — | IPA: hˈøːrən | Ich habe das Lied schon mal gehört. | I have already heard that song. | বাংলা সহায়তা: “শোনা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to know (জানা),"kennen | plural: — | IPA: kˈɛnən | Kennen Sie diese Frau? / Nein, leider nicht. | Do you know this woman? / No, unfortunately not. | বাংলা সহায়তা: “জানা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,recognition,common,verb
German for: to get to know (পরিচিত হওয়া),kennenlernen | plural: — | IPA: kˈɛnənlɜnən | Wir sind neu hier. Wir möchten Sie kennenlernen. | We are new here. We would like to get to know you. | বাংলা সহায়তা: “পরিচিত হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to cook (রাঁধুনি),kochen | plural: — | IPA: kˈɔxən | Herr Georgi kann gut kochen. | Mr Georgi is good at cooking. | বাংলা সহায়তা: “রাঁধুনি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to come (আস),kommen | plural: — | IPA: kˈɔmən | Woher kommen Sie? / Aus Frankreich. | Where do you come from? / From France. | বাংলা সহায়তা: “আস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to come (আস),kommen | plural: — | IPA: kˈɔmən | Kommst du mit ins Schwimmbad? | Are you coming with us to the pool? | বাংলা সহায়তা: “আস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to be able to (সক্ষম হওয়া),können | plural: — | IPA: kˈœnən | Ich kann Deutsch und Russisch. | I can speak German and Russian. | বাংলা সহায়তা: “সক্ষম হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to be able to (সক্ষম হওয়া),können | plural: — | IPA: kˈœnən | Können Sie mir helfen? | Can you help me? | বাংলা সহায়তা: “সক্ষম হওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to cost (খরচ),kosten | plural: — | IPA: kˈɔstən | Wie viel kostet das? / 10 Euro. | How much does that cost? / 10 euros. | বাংলা সহায়তা: “খরচ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to get (পাওয়া),kriegen | plural: — | IPA: kɾˈiːɡən | Ich kriege 15 Euro in der Stunde für meine Arbeit. | I get 15 euros an hour for my work. | বাংলা সহায়তা: “পাওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to look after (দেখাশোনা করা),sich kümmern | plural: — | IPA: zɪç kˈʏmɜn | Jede Mutter kümmert sich um ihre kleinen Kinder. | Every mother looks after her little children. | বাংলা সহায়তা: “দেখাশোনা করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to laugh (পরিহাস করা),lachen | plural: — | IPA: lˈaxən | Die Kinder lachen viel. | The children laugh a lot. | বাংলা সহায়তা: “পরিহাস করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to walk/run (হাঁটা),"laufen | plural: — | IPA: lˈaʊfən | Ich möchte nicht Auto fahren, ich möchte laufen. | I don’t want to go by car, I want to walk. | বাংলা সহায়তা: “হাঁটা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",3,recognition,common,verb
German for: to live (বসবাস করা),leben | plural: — | IPA: lˈeːbən | Sie lebt bei ihrer Schwester. | She lives at her sister‘s. | বাংলা সহায়তা: “বসবাস করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to live (বসবাস করা),leben | plural: — | IPA: lˈeːbən | Ihre Eltern leben nicht mehr. | Her parents are no longer alive. | বাংলা সহায়তা: “বসবাস করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to put (রাখা),legen | plural: — | IPA: lˈeːɡən | Legen Sie das Buch auf den Tisch. | Put the book on the table. | বাংলা সহায়তা: “রাখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to learn (শেখা),lernen | plural: — | IPA: lˈɛɾnən | Wie lange lernen Sie schon Deutsch? | How long have you been learning German? | বাংলা সহায়তা: “শেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to love (প্রেম),lieben | plural: — | IPA: lˈiːbən | Ich liebe dich! | I love you! | বাংলা সহায়তা: “প্রেম” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to prefer (পছন্দ করা),lieber | plural: — | IPA: lˈiːbɜ | Sie fährt lieber mit der Bahn. | She prefers to travel by train. | বাংলা সহায়তা: “পছন্দ করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to lie (অবস্থান করা),liegen | plural: — | IPA: lˈiːɡən | Um neun Uhr liegt Judith noch im Bett. | At 9 am Judith is still (lying) in bed. | বাংলা সহায়তা: “অবস্থান করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to lie / be located (অবস্থান করা),liegen | plural: — | IPA: lˈiːɡən | Frankfurt liegt am Main. | Frankfurt lies on the Main. | বাংলা সহায়তা: “অবস্থান করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to do (কর),machen | plural: — | IPA: mˈaxən | Was machst du heute Abend? | What are you doing this evening? | বাংলা সহায়তা: “কর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to make (তৈরি করা),machen | plural: — | IPA: mˈaxən | Ich muss jetzt das Essen machen. | I need to make the food now. | বাংলা সহায়তা: “তৈরি করা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to come to (কাছে আসা),machen | plural: — | IPA: mˈaxən | Das macht 5 Euro 95. | That comes to 5 euros 95. | বাংলা সহায়তা: “কাছে আসা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to rent (ভাড়া),mieten | plural: — | IPA: mˈiːtən | Ich möchte ein Auto mieten. | I would like to rent a car. | বাংলা সহায়তা: “ভাড়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
German for: to bring with one / to get (sth. for sb.) (সঙ্গে আনা বা কারও জন্য আনা),mitbringen | plural: — | IPA: mˈɪtbɾˌɪŋən | Ich gehe einkaufen. Soll ich dir was mitbringen? | I’m going shopping. Should I get you anything? | বাংলা সহায়তা: “সঙ্গে আনা বা কারও জন্য আনা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,3,recognition,common,verb
