Front,Back,Week,Status,Frequency,PartOfSpeech
German for: bird (পাখি); include article and plural,Vogel | plural: Vögel | IPA: dɛɾ fˈoːɡəl | Das ist der Vogel. | This is the bird. | এটি পাখি।,6,active,very common,noun
German for: … (প্রাসঙ্গিক বাক্যাংশ),gut | plural: — | IPA: ɡˈuːt | Guten Appetit! | Bon appetit! | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: light (জ্বালানো),hell | plural: — | IPA: hˈɛl | Im Sommer ist es bis 21 Uhr hell. | In summer it is light until 9 pm. | বাংলা সহায়তা: “জ্বালানো” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ),herzlich | plural: — | IPA: hˈɛɾtslɪç | Herzlichen Glückwunsch! | Congratulations! | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: here (এখানে),"hier | plural: — | IPA: hˈiːɾ | Hier ist 06131-553221, Pamela Linke. | This is 06131-553221, Pamela Linke. | বাংলা সহায়তা: “এখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,recognition,common,adjective/adverb/other
German for: here (এখানে),hier | plural: — | IPA: hˈiːɾ | Hier wohne ich. | I live here. | বাংলা সহায়তা: “এখানে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: at/in the back (পেছনে),hinten | plural: — | IPA: hˈɪntən | Die Tür zum Aussteigen ist hinten. | The exit door is at the back. | বাংলা সহায়তা: “পেছনে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: high (উচ্চ),"hoch | plural: — | IPA: hˈoːx | Der Mount Everest ist 8.880 Meter hoch. | Mount Everest is 8,880 metres high. | বাংলা সহায়তা: “উচ্চ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,recognition,common,adjective/adverb/other
German for: I (আমি),ich | plural: — | IPA: ˈɪç | Ich heiße Veronika. | I’m called Veronika. | বাংলা সহায়তা: “আমি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: him/her (তার),ihm/ihr | plural: — | IPA: ˈiːm iːɾ | Gib ihm/ihr bitte das Buch. | Please give the book to him/her. | বাংলা সহায়তা: “তার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: him (তার),"ihn | plural: — | IPA: ˈiːn | Ruf ihn bitte an. | Call him, please. | বাংলা সহায়তা: “তার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,recognition,common,adjective/adverb/other
German for: always (সবসময়),immer | plural: — | IPA: ˈɪmɜ | Frau Bast kommt immer zu spät. | Ms Bast is always late. | বাংলা সহায়তা: “সবসময়” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: international (আন্তর্জাতিক),"international | plural: — | IPA: ˌɪntɜnˌatsɪˌoːnˈɑːl | Unser Deutschkurs ist international: Silvana kommt aus Italien, Conchi aus Spanien, Yin aus China ... | Our German course is international: Silvana comes from Italy, Conchi from Spain, Yin from China, … | বাংলা সহায়তা: “আন্তর্জাতিক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",6,recognition,common,adjective/adverb/other
German for: yes (হ্যাঁ),ja | plural: — | IPA: jˈɑː | Sind Sie Herr Watanabe? / Ja. | Are you Mr Watanabe? / Yes. | বাংলা সহায়তা: “হ্যাঁ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: every (প্রতি),jed- | plural: — | IPA: jˈeːt | Blumen kannst du in jedem Bahnhof kaufen. | You can buy flowers at every station. | বাংলা সহায়তা: “প্রতি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: now (এখন),jetzt | plural: — | IPA: jˈɛtst | Jetzt machen wir eine Pause. | Now we will take a break. | বাংলা সহায়তা: “এখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
German for: young (যুবক),jung | plural: — | IPA: jˈʊŋ | Claudia ist 21. / Was? Noch so jung? | Claudia is 21. / What? Still so young? | বাংলা সহায়তা: “যুবক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,6,recognition,common,adjective/adverb/other
