Front,Back,Week,Status,Frequency,PartOfSpeech
German for: arm (বাহু); include article and plural,Arm | plural: -e | IPA: dɛɾ ˈaɾm | Mein Arm tut weh. | My arm hurts. | বাংলা সহায়তা: “বাহু” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,active,very common,noun
German for: a lot (অনেক),viel | plural: — | IPA: fˈiːl | Hier regnet es viel. | It rains a lot here. | বাংলা সহায়তা: “অনেক” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun/phrase
German for: perhaps / may(be) (সম্ভবত),vielleicht | plural: — | IPA: fiːllˈaɪçt | Ich komme vielleicht mit dem Bus. | I may come by bus. | বাংলা সহায়তা: “সম্ভবত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
"German for: of (possessive “s"") (এর)",von | plural: — | IPA: fˈɔn | Das Auto von Felix ist kaputt. | Felix’s car is broken. | বাংলা সহায়তা: “এর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: ago (আগে),vor | plural: — | IPA: fˈɔɾ | Der Termin war vor einer Stunde. | The appointment was an hour ago. | বাংলা সহায়তা: “আগে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: in front of (মধ্যে বা -এ সদর),vor | plural: — | IPA: fˈɔɾ | Das Auto steht vor der Tür. | The car is in front of the door. | বাংলা সহায়তা: “মধ্যে বা -এ সদর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Vorsicht | plural: — | IPA: diː fˈoːɾzˌɪçt | Vorsicht! Da kommt ein Auto. | Careful! There’s a car coming. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: attention (মনোযোগ); include article and plural,Vorsicht | plural: — | IPA: diː fˈoːɾzˌɪçt | Er arbeitet mit Vorsicht. | He works with caution. | বাংলা সহায়তা: “মনোযোগ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: to introduce (উপস্থাপন),(sich) vorstellen | plural: — | IPA: fˈoːɾʃtˌɛlən | Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen? | We would like to get to know each other. Can you introduce yourself? | বাংলা সহায়তা: “উপস্থাপন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,verb
German for: area code (অংশ কোড); include article and plural,Vorwahl | plural: — | IPA: diː fˈoːɾvˌɑːl | Wie ist die Vorwahl von München? | What is the area code for Munich? | বাংলা সহায়তা: “অংশ কোড” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,noun
German for: to hike (পায়ে হাটা),wandern | plural: — | IPA: vˈandɜn | Wir wandern um den Chiemsee. | We are hiking around the Chiem lake. | বাংলা সহায়তা: “পায়ে হাটা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,verb
German for: when (যখন),wann | plural: — | IPA: vˈan | Wann bist du fertig? | When will you be finished? | বাংলা সহায়তা: “যখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
German for: when (যখন),wann | plural: — | IPA: vˈan | Wann kann ich Sie anrufen? | When can I call you? | বাংলা সহায়তা: “যখন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,7,recognition,common,adjective/adverb/other
