Front,Back,Week,Status,Frequency,PartOfSpeech
German for: car (গাড়ি); include article and plural,Auto | plural: -s | IPA: das ˈaʊtoː | Er kommt mit dem Auto. | He’s coming by car. | বাংলা সহায়তা: “গাড়ি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,active,very common,noun
German for: counter (কাউন্টার); include article and plural,Schalter | plural: — | IPA: dɛɾ ʃˈaltɜ | Gehen Sie bitte zum Schalter drei! | Please go to counter 3! | বাংলা সহায়তা: “কাউন্টার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: to shine (কিরণ দেওয়া),scheinen | plural: — | IPA: ʃˈaɪnən | Die Sonne scheint. | The sun is shining. | বাংলা সহায়তা: “কিরণ দেওয়া” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: to send (পাঠাও),schicken | plural: — | IPA: ʃˈɪkən | Bitte schicken Sie mir eine E-Mail. | Please send me an email. | বাংলা সহায়তা: “পাঠাও” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: sign (চিহ্ন); include article and plural,Schild | plural: -er | IPA: das ʃˈɪlt | Haben Sie nicht das Schild gesehen? | Did you not see the sign? | বাংলা সহায়তা: “চিহ্ন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: ham (শুকরের মাংস); include article and plural,Schinken | plural: – | IPA: dɛɾ ʃˈɪŋkən | Ich möchte gern ein Schinkenbrot. | I would like a ham roll. | বাংলা সহায়তা: “শুকরের মাংস” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: to sleep (ঘুমান),schlafen | plural: — | IPA: ʃlˈɑːfən | Ich schlafe meistens acht Stunden. | I usually sleep for eight hours. | বাংলা সহায়তা: “ঘুমান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: to close (নিকট),"schließen | plural: — | IPA: ʃlˈiːsən | Bitte, schließen Sie die Tür. | Please close the door. | বাংলা সহায়তা: “নিকট” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,verb
German for: closed (বন্ধ),geschlossen | plural: — | IPA: ɡəʃlˈɔsən | Die Bank hat am Samstag geschlossen. | The bank is closed on Saturday. | বাংলা সহায়তা: “বন্ধ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: … (প্রাসঙ্গিক বাক্যাংশ); include article and plural,Schluss | plural: — | IPA: dɛɾ ʃlˈʊs | Ich muss jetzt Schluss machen. | I need to finish/wrap up now. | বাংলা সহায়তা: “প্রাসঙ্গিক বাক্যাংশ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: end (শেষ); include article and plural,"Schluss | plural: — | IPA: dɛɾ ʃlˈʊs | Zum Schluss gibt er uns allen die Hand. | At the end, he shakes everyone’s hand. | বাংলা সহায়তা: “শেষ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,noun
German for: key (মূখ্য); include article and plural,Schlüssel | plural: – | IPA: dɛɾ ʃlˈʏsəl | Ich gebe Ihnen noch den Zimmerschlüssel. | I’ll give you the room key as well. | বাংলা সহায়তা: “মূখ্য” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: to taste (স্বাদ),schmecken | plural: — | IPA: ʃmˈɛkən | Schmeckt das gut? | Does that taste good? | বাংলা সহায়তা: “স্বাদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: quick / fast (দ্রুত),schnell | plural: — | IPA: ʃnˈɛl | Er fährt schnell. | He drives fast. | বাংলা সহায়তা: “দ্রুত” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: already (ইতিমধ্যে),schon | plural: — | IPA: ʃˈoːn | Ist das Essen schon fertig? | Is the food done already? | বাংলা সহায়তা: “ইতিমধ্যে” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: lovely (খুব সুন্দর),schön | plural: — | IPA: ʃˈøːn | Schönen Urlaub! | Have a lovely holiday! | বাংলা সহায়তা: “খুব সুন্দর” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: cupboard (আলমারি); include article and plural,"Schrank | plural: -ä, e | IPA: dɛɾ ʃrˈaŋk | Die Gläser stehen im Schrank. | The glasses are in the cupboard. | বাংলা সহায়তা: “আলমারি” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,noun
German for: pupil (ছাত্র); include article and plural,Schüler | plural: – | IPA: dɛɾ ʃˈyːlɜ | In meinem Kurs sind acht Schülerinnen und fünf Schüler. | In my course there are 8 female pupils and 5 male pupils. | বাংলা সহায়তা: “ছাত্র” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: heavy (ভারী),schwer | plural: — | IPA: ʃvˈeːɾ | Ist Ihr Gepäck sehr schwer? | Is your luggage very heavy? | বাংলা সহায়তা: “ভারী” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: difficult (কঠিন),schwer | plural: — | IPA: ʃvˈeːɾ | Das ist eine schwere Arbeit. | That is a very difficult job. | বাংলা সহায়তা: “কঠিন” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: to swim (সাঁতার কাটা),schwimmen | plural: — | IPA: ʃvˈɪmən | Ich schwimme jeden Tag einen Kilometer. | I swim a kilometre every day. | বাংলা সহায়তা: “সাঁতার কাটা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: swimming pool (সুইমিং পুল); include article and plural,Schwimmbad | plural: — | IPA: das ʃvˈɪmbɑːt | Kommst du mit ins Schwimmbad? | Are you coming to the swimming pool with us? | বাংলা সহায়তা: “সুইমিং পুল” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: lake (হ্রদ); include article and plural,"See | plural: — | IPA: dɛɾ zˈeː | Komm, wir fahren zum Starnberger See. | Come, we’re going to Starnberg lake. | বাংলা সহায়তা: “হ্রদ” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।",5,recognition,common,noun
German for: to see (দেখা),sehen | plural: — | IPA: zˈeːən | Ich kann dich nicht sehen. | I can’t see you. | বাংলা সহায়তা: “দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: to see (দেখা),sehen | plural: — | IPA: zˈeːən | Ich habe diesen Jungen schon einmal gesehen. | I have seen this boy before. | বাংলা সহায়তা: “দেখা” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,verb
German for: sights/attractions (দর্শনীয় স্থান); include article and plural,Sehenswürdigkeit | plural: -en | IPA: diː zˈeːənsvˌʏɾdɪçkˌaɪt | Welche Sehenswürdigkeiten gibt es in Frankfurt? | Which sights are there to see in Frankfurt? | বাংলা সহায়তা: “দর্শনীয় স্থান” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,noun
German for: very (খুব),sehr | plural: — | IPA: zˈeːɾ | Danke sehr! | Thank you very much! | বাংলা সহায়তা: “খুব” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: very (খুব),sehr | plural: — | IPA: zˈeːɾ | Das ist sehr schwer. | That is very heavy. | বাংলা সহায়তা: “খুব” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
German for: his (তার),sein | plural: — | IPA: zˈaɪn | Herr Müller ist in seinem Zimmer. | Mr Müller is in his room. | বাংলা সহায়তা: “তার” অর্থটি এই বাক্যে ব্যবহৃত হয়েছে।,5,recognition,common,adjective/adverb/other
